stage,r,N,A_hh,N_hh,C,R_asset,R_labor,finite,hjb_converged
inner_primary_upper,-0.009022136394340265,2.0,1.6490527356396956,0.7698506192385445,1.2039875738683112,-8.350947264360304,-1.2301493807614556,True,True
inner_brentq,-0.009022136394340265,0.2,3.4789088078000514,1.1959751712960056,0.9643165871773002,-6.521091192199949,0.9959751712960057,True,True
inner_brentq,-0.009022136394340265,2.0,1.6490527356396956,0.7698506192385445,1.2039875738683112,-8.350947264360304,-1.2301493807614556,True,True
inner_brentq,-0.009022136394340265,1.005325697825795,2.5593859959104535,0.9887720078437789,1.0607304018244037,-7.4406140040895465,-0.016553689982016007,True,True
inner_brentq,-0.009022136394340265,0.9921595428190801,2.5731589696840897,0.9919523887355319,1.0590187814311596,-7.42684103031591,-0.00020715408354821108,True,True
inner_brentq,-0.009022136394340265,0.9919927273158321,2.5733337046463105,0.9919927290880856,1.0589971248431118,-7.426666295353689,1.7722534551012359e-09,True,True
inner_brentq,-0.009022136394340265,0.991992728742967,2.5733337031517127,0.9919927287429671,1.0589971250283872,-7.426666296848287,1.1102230246251565e-16,True,True
inner_brentq,-0.009022136394340265,0.9919927297389634,2.5733337021086067,0.9919927285021074,1.0589971251576915,-7.426666297891393,-1.2368559509923216e-09,True,True
outer_brentq,-0.009022136394340265,0.991992728742967,2.5733337031517127,0.9919927287429671,1.0589971250283872,-7.426666296848287,1.1102230246251565e-16,True,True
inner_primary_lower,0.00023893180282986634,0.2,5.945454959275673,1.266542950651906,0.9544991636221973,-4.054545040724327,1.066542950651906,True,True
inner_primary_upper,0.00023893180282986634,2.0,3.074695579494477,0.8368880359581008,1.1744743499999917,-6.9253044205055225,-1.1631119640418992,True,True
inner_brentq,0.00023893180282986634,0.2,5.945454959275673,1.266542950651906,0.9544991636221973,-4.054545040724327,1.066542950651906,True,True
inner_brentq,0.00023893180282986634,2.0,3.074695579494477,0.8368880359581008,1.1744743499999917,-6.9253044205055225,-1.1631119640418992,True,True
inner_brentq,0.00023893180282986634,1.061019926680928,4.439082055261214,1.0468438993486378,1.0496498938372985,-5.560917944738786,-0.014176027332290175,True,True
inner_brentq,0.00023893180282986634,1.049725739882208,4.457357249923675,1.0495656091636836,1.048288000331875,-5.542642750076325,-0.0001601307185243872,True,True
inner_brentq,0.00023893180282986634,1.0495967238939516,4.457566254463197,1.0495967256621683,1.0482724614595524,-5.542433745536803,1.7682166841836988e-09,True,True
inner_brentq,0.00023893180282986634,1.0495967253185734,4.457566252155759,1.049596725318573,1.048272461631137,-5.542433747844241,-4.440892098500626e-16,True,True
