run,amplitude,horizon,k,t,epsilon_i,w,N,Y,pi,r,i,tr,Pi,AC,A_hh,N_hh,C,R_asset,R_labor,R_goods,R_nkpc,R_fisher,R_taylor,R_fiscal,R_profits,R_wealth,mass_error,min_mass,neg_count,nan_count,hjb_residual,labor_kkt,cfoc
amp1.0_T12.0,1.0,12.0,171,8.55,0.0,0.8342073139508459,1.0660086332158467,1.0660086332158467,-0.0004597205627255893,0.007140753602307402,0.006681033039581813,0.06198329376143656,0.17672516997953847,1.126467290423766e-05,10.000000006204942,1.0660086334031915,1.0659963584633205,6.204942337717512e-09,1.8734480633497697e-10,1.0100796219491558e-06,6.369687763352339e-19,0.0,0.0,0.0,0.0,-3.9217024064481555e-15,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,1.3322676295501878e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,172,8.6,0.0,0.8341923539961782,1.0660028511829505,1.0660028511829505,-0.0004625723648594897,0.007139327701240452,0.0066767553363809625,0.061994437156836946,0.17674001858633098,1.1404801676435605e-05,10.000000006117755,1.0660028513622677,1.065990414605071,6.117755191326069e-09,1.793172277331223e-10,1.0317762030909622e-06,1.2468324983583301e-18,0.0,0.0,0.0,0.0,1.0100300383932871e-15,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.1102230246251565e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,173,8.65,0.0,0.8341772569239694,1.0659970092830953,1.0659970092830953,-0.00046538071303045385,0.00713792352715497,0.006672542814124516,0.06200533389238942,0.1767550045507644,1.1543639403282163e-05,10.00000000651746,1.0659970094858033,1.0659844260798104,6.5174603491868766e-09,2.0270807254973988e-10,1.0395638816172057e-06,1.1519648082658485e-18,0.0,0.0,0.0,0.0,2.5038148654686664e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,7.771561172376096e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,174,8.700000000000001,0.0,0.8341620387193187,1.065991127577146,1.065991127577146,-0.00046814517415887704,0.007136541296590759,0.0066683961224318815,0.06201598686956103,0.17677011421502456,1.1681125663936392e-05,10.00000000670943,1.0659911277700496,1.065978393432081,6.709429456464022e-09,1.929034709746702e-10,1.0530194011489087e-06,2.846030702774449e-19,0.0,0.0,0.0,0.0,1.4536233528043797e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,7.771561172376096e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,175,8.75,0.0,0.8341466928388549,1.065985197327288,1.065985197327288,-0.0004708653629039125,0.00713518120221824,0.006664315839314328,0.06202639202267729,0.17678535315932867,1.1817202227944853e-05,10.00000000697341,1.0659851975391414,1.065972317153128,6.973410293653615e-09,2.1185342369278715e-10,1.0629719321788053e-06,1.1519648082658485e-19,0.0,0.0,0.0,0.0,-5.2031061733838436e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,1.1102230246251565e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,176,8.8,0.0,0.8341312189730989,1.0659792178556797,1.0659792178556797,-0.000473540874101929,0.007133843446619232,0.006660302572517303,0.06203654719229998,0.176800721655603,1.1951810128031085e-05,10.000000007133785,1.0659792180718752,1.0659661977532835,7.1337851181851875e-09,2.1619550594209613e-10,1.0682922682017725e-06,6.098637220230962e-20,0.0,0.0,0.0,0.0,1.5415350389274196e-14,8.881784197001252e-16,0.0,0,0,1.3642420526593924e-12,8.881784197001252e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,177,8.85,0.0,0.8341156313953434,1.0659732070568508,1.0659732070568508,-0.0004761713014582767,0.007132528232941059,0.006656356931482782,0.062046454868801046,0.1768162075113829,1.2084890723718638e-05,10.000000006956983,1.0659732072325656,1.0659600357840218,6.956982545602841e-09,1.757147760628186e-10,1.086382105352519e-06,-4.54009659728305e-19,0.0,0.0,0.0,0.0,1.3425685242766895e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,7.771561172376096e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,178,8.9,0.0,0.8340999100051679,1.0659671389620506,1.0659671389620506,-0.0004787562812950359,0.0071312357430226795,0.006652479461727643,0.06205610677128012,0.1768318278980901,1.2216387247730662e-05,10.000000007076641,1.0659671391335819,1.0659538317121715,7.076641495018521e-09,1.7153123366142609e-10,1.090862631404679e-06,2.303929616531697e-19,0.0,0.0,0.0,0.0,-1.0535829902334455e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,1.1102230246251565e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,179,8.950000000000001,0.0,0.8340840687466835,1.0659610311097687,1.0659610311097687,-0.0004812953894511871,0.007129966188944604,0.0066486707994934165,0.06206550520357085,0.17684757091574405,1.2346240578721783e-05,10.000000006813117,1.0659610312597538,1.0659475860940681,6.813117181536654e-09,1.4998513542252567e-10,1.098775121831004e-06,6.979551485375435e-19,0.0,0.0,0.0,0.0,3.4666875303696965e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,8.881784197001252e-16,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,180,9.0,0.0,0.834068113489226,1.065954890734763,1.065954890734763,-0.00048378824338596305,0.007128719761977215,0.006644931518591252,0.062074650097191514,0.17686343156116413,1.2474393840993522e-05,10.000000006335004,1.065954890832095,1.0659412994695883,6.335003632784719e-09,9.733214234586285e-11,1.1168713336459663e-06,1.1519648082658485e-19,0.0,0.0,0.0,0.0,-3.880638164461972e-14,8.881784197001252e-16,0.0,0,0,9.094947017729282e-13,4.440892098500626e-16,2.220446049250313e-16
