variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
G2_B_WIDE_2,upper_a,a_forward,offending,3.077642394e-01,,,,,,,24,19,0,6.842105263e+00,1.000000000e+01,8.000000000e-01,3.077642394e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.029790173e-01,,,,,,,24,19,1,6.842105263e+00,1.000000000e+01,1.300000000e+00,3.029790173e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.056889965e-01,,,,,,,25,19,0,7.210526316e+00,1.000000000e+01,8.000000000e-01,3.056889965e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.997025893e-01,,,,,,,25,19,1,7.210526316e+00,1.000000000e+01,1.300000000e+00,2.997025893e-01
G2_B_WIDE_2,upper_a,a_forward,offending,3.029233744e-01,,,,,,,26,19,0,7.578947368e+00,1.000000000e+01,8.000000000e-01,3.029233744e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.958873054e-01,,,,,,,26,19,1,7.578947368e+00,1.000000000e+01,1.300000000e+00,2.958873054e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.995493250e-01,,,,,,,27,19,0,7.947368421e+00,1.000000000e+01,8.000000000e-01,2.995493250e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.916017913e-01,,,,,,,27,19,1,7.947368421e+00,1.000000000e+01,1.300000000e+00,2.916017913e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.956419311e-01,,,,,,,28,19,0,8.315789474e+00,1.000000000e+01,8.000000000e-01,2.956419311e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.869097005e-01,,,,,,,28,19,1,8.315789474e+00,1.000000000e+01,1.300000000e+00,2.869097005e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.912704026e-01,,,,,,,29,19,0,8.684210526e+00,1.000000000e+01,8.000000000e-01,2.912704026e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.818702489e-01,,,,,,,29,19,1,8.684210526e+00,1.000000000e+01,1.300000000e+00,2.818702489e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.864988227e-01,,,,,,,30,19,0,9.052631579e+00,1.000000000e+01,8.000000000e-01,2.864988227e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.765386056e-01,,,,,,,30,19,1,9.052631579e+00,1.000000000e+01,1.300000000e+00,2.765386056e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.813867019e-01,,,,,,,31,19,0,9.421052632e+00,1.000000000e+01,8.000000000e-01,2.813867019e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.709661747e-01,,,,,,,31,19,1,9.421052632e+00,1.000000000e+01,1.300000000e+00,2.709661747e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.759893837e-01,,,,,,,32,19,0,9.789473684e+00,1.000000000e+01,8.000000000e-01,2.759893837e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.652007959e-01,,,,,,,32,19,1,9.789473684e+00,1.000000000e+01,1.300000000e+00,2.652007959e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.703583409e-01,,,,,,,33,19,0,1.015789474e+01,1.000000000e+01,8.000000000e-01,2.703583409e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.592868867e-01,,,,,,,33,19,1,1.015789474e+01,1.000000000e+01,1.300000000e+00,2.592868867e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.645413874e-01,,,,,,,34,19,0,1.052631579e+01,1.000000000e+01,8.000000000e-01,2.645413874e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.532655457e-01,,,,,,,34,19,1,1.052631579e+01,1.000000000e+01,1.300000000e+00,2.532655457e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.585828323e-01,,,,,,,35,19,0,1.089473684e+01,1.000000000e+01,8.000000000e-01,2.585828323e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.471746309e-01,,,,,,,35,19,1,1.089473684e+01,1.000000000e+01,1.300000000e+00,2.471746309e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.525235937e-01,,,,,,,36,19,0,1.126315789e+01,1.000000000e+01,8.000000000e-01,2.525235937e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.410488259e-01,,,,,,,36,19,1,1.126315789e+01,1.000000000e+01,1.300000000e+00,2.410488259e-01
