variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V2_B_WIDE,offending,upper_a,a_forward,3.042282429e-01,,,,,,,19,19,0,5.000000000e+00,1.000000000e+01,8.000000000e-01,3.042282429e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.084142656e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.084142656e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.071949835e-01,,,,,,,20,19,0,5.368421053e+00,1.000000000e+01,8.000000000e-01,3.071949835e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.091018006e-01,,,,,,,20,19,1,5.368421053e+00,1.000000000e+01,1.300000000e+00,3.091018006e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.088942713e-01,,,,,,,21,19,0,5.736842105e+00,1.000000000e+01,8.000000000e-01,3.088942713e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.087973373e-01,,,,,,,21,19,1,5.736842105e+00,1.000000000e+01,1.300000000e+00,3.087973373e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.094730277e-01,,,,,,,22,19,0,6.105263158e+00,1.000000000e+01,8.000000000e-01,3.094730277e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.076112249e-01,,,,,,,22,19,1,6.105263158e+00,1.000000000e+01,1.300000000e+00,3.076112249e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.090588270e-01,,,,,,,23,19,0,6.473684211e+00,1.000000000e+01,8.000000000e-01,3.090588270e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.056419347e-01,,,,,,,23,19,1,6.473684211e+00,1.000000000e+01,1.300000000e+00,3.056419347e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.077639246e-01,,,,,,,24,19,0,6.842105263e+00,1.000000000e+01,8.000000000e-01,3.077639246e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.029782303e-01,,,,,,,24,19,1,6.842105263e+00,1.000000000e+01,1.300000000e+00,3.029782303e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.056882553e-01,,,,,,,25,19,0,7.210526316e+00,1.000000000e+01,8.000000000e-01,3.056882553e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.997007346e-01,,,,,,,25,19,1,7.210526316e+00,1.000000000e+01,1.300000000e+00,2.997007346e-01,,
V2_B_WIDE,offending,upper_a,a_forward,3.029216260e-01,,,,,,,26,19,0,7.578947368e+00,1.000000000e+01,8.000000000e-01,3.029216260e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.958829316e-01,,,,,,,26,19,1,7.578947368e+00,1.000000000e+01,1.300000000e+00,2.958829316e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.995452007e-01,,,,,,,27,19,0,7.947368421e+00,1.000000000e+01,8.000000000e-01,2.995452007e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.915914887e-01,,,,,,,27,19,1,7.947368421e+00,1.000000000e+01,1.300000000e+00,2.915914887e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.956322187e-01,,,,,,,28,19,0,8.315789474e+00,1.000000000e+01,8.000000000e-01,2.956322187e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.868854962e-01,,,,,,,28,19,1,8.315789474e+00,1.000000000e+01,1.300000000e+00,2.868854962e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.912476007e-01,,,,,,,29,19,0,8.684210526e+00,1.000000000e+01,8.000000000e-01,2.912476007e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.818136042e-01,,,,,,,29,19,1,8.684210526e+00,1.000000000e+01,1.300000000e+00,2.818136042e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.864455178e-01,,,,,,,30,19,0,9.052631579e+00,1.000000000e+01,8.000000000e-01,2.864455178e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.764066887e-01,,,,,,,30,19,1,9.052631579e+00,1.000000000e+01,1.300000000e+00,2.764066887e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.812627406e-01,,,,,,,31,19,0,9.421052632e+00,1.000000000e+01,8.000000000e-01,2.812627406e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.706607331e-01,,,,,,,31,19,1,9.421052632e+00,1.000000000e+01,1.300000000e+00,2.706607331e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.757028715e-01,,,,,,,32,19,0,9.789473684e+00,1.000000000e+01,8.000000000e-01,2.757028715e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.644982828e-01,,,,,,,32,19,1,9.789473684e+00,1.000000000e+01,1.300000000e+00,2.644982828e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.697006825e-01,,,,,,,33,19,0,1.015789474e+01,1.000000000e+01,8.000000000e-01,2.697006825e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.576836919e-01,,,,,,,33,19,1,1.015789474e+01,1.000000000e+01,1.300000000e+00,2.576836919e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.630428918e-01,,,,,,,34,19,0,1.052631579e+01,1.000000000e+01,8.000000000e-01,2.630428918e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.496421343e-01,,,,,,,34,19,1,1.052631579e+01,1.000000000e+01,1.300000000e+00,2.496421343e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.551905443e-01,,,,,,,35,19,0,1.089473684e+01,1.000000000e+01,8.000000000e-01,2.551905443e-01,,
