variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,mu_W,mu_W_transfer_cancelled_reconstruction,transfer_cancellation_residual,linear_d_contribution_mu_a,linear_negd_contribution_mu_b,linear_d_cancellation_sum,is_top_layer,material_positive
J3_A153_B120,118,150,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.837459988e+00,7.998071814e-01,-4.227261396e-01,6.038061606e-02,2.733712798e-02,-1.529518504e-01,3.077773454e-02,-3.315677890e-01,3.623455236e-01,0.000000000e+00,-1.221741159e-01,-1.221741159e-01,1.387778781e-17,-4.227261396e-01,4.227261396e-01,0.000000000e+00,False,True
J3_A153_B120,118,151,1,4.147368421e+01,9.934210526e+00,1.300000000e+00,B,F,1.837977340e+00,7.997171221e-01,-4.367345335e-01,6.287347456e-02,2.717302812e-02,-1.667919515e-01,4.167640174e-02,-3.321846572e-01,3.738610589e-01,0.000000000e+00,-1.251155498e-01,-1.251155498e-01,-2.775557562e-17,-4.367345335e-01,4.367345335e-01,0.000000000e+00,False,True
J3_A153_B120,118,152,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.838495045e+00,7.996270372e-01,-4.462644607e-01,6.454164295e-02,2.700000000e-02,-1.762644607e-01,4.892091231e-02,-3.328019054e-01,3.817228177e-01,1.110223025e-16,-1.273435484e-01,-1.273435484e-01,8.326672685e-17,-4.462644607e-01,4.462644607e-01,0.000000000e+00,False,True
J3_A153_B120,119,146,0,4.184210526e+01,9.605263158e+00,8.000000000e-01,B,B,1.831369922e+00,7.267605613e-01,-3.664494741e-01,5.062532618e-02,2.791212418e-02,-9.834617612e-02,-3.937170137e-01,-7.095411617e-01,3.158241480e-01,-1.110223025e-16,-4.920631898e-01,-4.920631898e-01,-1.110223025e-16,-3.664494741e-01,3.664494741e-01,0.000000000e+00,True,False
J3_A153_B120,119,146,1,4.184210526e+01,9.605263158e+00,1.300000000e+00,B,B,1.837442615e+00,7.998102063e-01,-3.668442381e-01,5.069494000e-02,2.791212418e-02,-9.874094007e-02,-9.871459599e-03,-3.260207577e-01,3.161492981e-01,1.110223025e-16,-1.086123997e-01,-1.086123997e-01,9.714451465e-17,-3.668442381e-01,3.668442381e-01,0.000000000e+00,True,False
J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,B,B,1.837898934e+00,7.997307685e-01,-3.846889827e-01,5.377081204e-02,2.777983641e-02,-1.160287227e-01,4.353314391e-03,-3.265648563e-01,3.309181707e-01,5.551115123e-17,-1.116754083e-01,-1.116754083e-01,5.551115123e-17,-3.846889827e-01,3.846889827e-01,0.000000000e+00,True,True
J3_A153_B120,119,148,0,4.184210526e+01,9.736842105e+00,8.000000000e-01,B,B,1.832469091e+00,7.265861570e-01,-4.018284778e-01,5.676585527e-02,2.764014998e-02,-1.327007016e-01,-3.656963025e-01,-7.107589250e-01,3.450626225e-01,1.110223025e-16,-4.983970041e-01,-4.983970041e-01,1.665334537e-16,-4.018284778e-01,4.018284778e-01,0.000000000e+00,True,False
J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,B,B,1.838349988e+00,7.996522746e-01,-4.024564467e-01,5.688052379e-02,2.764014998e-02,-1.333286705e-01,1.847327678e-02,-3.271026461e-01,3.455759229e-01,-1.110223025e-16,-1.148553937e-01,-1.148553937e-01,-1.110223025e-16,-4.024564467e-01,4.024564467e-01,0.000000000e+00,True,True
J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,B,B,1.838797684e+00,7.995743917e-01,-4.198170489e-01,5.996119877e-02,2.749270532e-02,-1.503161875e-01,3.221944759e-02,-3.276364025e-01,3.598558501e-01,-1.110223025e-16,-1.180967399e-01,-1.180967399e-01,-9.714451465e-17,-4.198170489e-01,4.198170489e-01,0.000000000e+00,True,True
J3_A153_B120,119,150,0,4.184210526e+01,9.868421053e+00,8.000000000e-01,B,B,1.833552356e+00,7.264144194e-01,-4.351535643e-01,6.270369706e-02,2.733712798e-02,-1.653792751e-01,-3.395091041e-01,-7.119589714e-01,3.724498673e-01,5.551115123e-17,-5.048883792e-01,-5.048883792e-01,1.110223025e-16,-4.351535643e-01,4.351535643e-01,0.000000000e+00,True,False
