r_a,r_b,L,finite_before,stage_before,old_transfer_foc_guard_failure_before,finite_after,stage_after,hjb_converged_after,hjb_iterations_after,hjb_statistic_after,hjb_exception_class_after,hjb_exception_message_after,kfe_reached_after,kfe_exception_class_after,kfe_exception_message_after,agg_reached_after,agg_finite_after,kfe_mass_error_after,hjb_warnings_after,kfe_warnings_after
0.0,0.02500000000000001,0.2,0,6,0,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,10,5.0820656127825714e-08,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,0.02500000000000001,0.55,0,6,0,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,11,1.0135316586001863e-08,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,0.02500000000000001,0.8999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.5304632228207993e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.02500000000000001,1.2499999999999998,1,FINITE,0,1,FULL_FINITE,1,11,1.2302894702997946e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.02500000000000001,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.2271197391555688e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.02500000000000001,1.95,0,6,0,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,10,3.894321665143252e-08,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,0.02500000000000001,2.3,1,FINITE,0,1,FULL_FINITE,1,10,1.3741139781586753e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.02500000000000001,2.65,1,FINITE,0,1,FULL_FINITE,1,9,7.137612811902727e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.02500000000000001,3.0,1,FINITE,0,1,FULL_FINITE,1,9,3.957272909360654e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.04375000000000001,0.2,1,FINITE,0,1,FULL_FINITE,1,11,5.812896830548198e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.04375000000000001,0.55,1,FINITE,0,1,FULL_FINITE,1,11,3.231604139841693e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.04375000000000001,0.8999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.403801519472836e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.04375000000000001,1.2499999999999998,1,FINITE,0,1,FULL_FINITE,1,11,6.677481678707409e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.04375000000000001,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,10,9.072931916875859e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.04375000000000001,1.95,1,FINITE,0,1,FULL_FINITE,1,10,7.868772300412274e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.04375000000000001,2.3,1,FINITE,0,1,FULL_FINITE,1,11,4.101263328948335e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.04375000000000001,2.65,1,FINITE,0,1,FULL_FINITE,1,11,5.158771188007449e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.04375000000000001,3.0,1,FINITE,0,1,FULL_FINITE,1,11,8.455451450117835e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,0.2,1,FINITE,0,1,FULL_FINITE,1,11,5.363408561720462e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.06250000000000001,0.55,1,FINITE,0,1,FULL_FINITE,1,11,2.873363769140269e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,0.8999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.5047064039208635e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,1.2499999999999998,1,FINITE,0,1,FULL_FINITE,1,11,7.672909418943163e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,10,8.555321784342595e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,1.95,1,FINITE,0,1,FULL_FINITE,1,10,6.002127861393092e-08,,,1,,,1,1,4.440892098500626e-16,,
0.0,0.06250000000000001,2.3,1,FINITE,0,1,FULL_FINITE,1,11,1.1068607363995397e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.06250000000000001,2.65,1,FINITE,0,1,FULL_FINITE,1,11,8.242402316227526e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.06250000000000001,3.0,1,FINITE,0,1,FULL_FINITE,1,11,6.411420727658879e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.08125000000000003,0.2,1,FINITE,0,1,FULL_FINITE,1,11,1.8070323903884855e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.08125000000000003,0.55,1,FINITE,0,1,FULL_FINITE,1,11,1.3575327528769776e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.08125000000000003,0.8999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.980579256155579e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.08125000000000003,1.2499999999999998,1,FINITE,0,1,FULL_FINITE,1,11,3.118233848908858e-08,,,1,,,1,1,1.1102230246251565e-16,,
